epoch,accuracy,loss,sparse_categorical_crossentropy,val_accuracy,val_loss,val_sparse_categorical_crossentropy
0,0.5015000104904175,1.1322022676467896,0.6962509155273438,0.48350000381469727,0.8155884742736816,0.6942266821861267
1,0.492249995470047,0.7543006539344788,0.6936326622962952,0.484499990940094,0.7201951742172241,0.6936184763908386
2,0.5062500238418579,0.7078258395195007,0.6933348178863525,0.484499990940094,0.7002508640289307,0.6934680342674255
3,0.5042499899864197,0.6970134377479553,0.6932380795478821,0.484499990940094,0.6952813863754272,0.6934540867805481
4,0.5038750171661377,0.6942758560180664,0.6932296752929688,0.484499990940094,0.6939690113067627,0.6934399604797363
5,0.5038750171661377,0.6935343146324158,0.6932242512702942,0.484499990940094,0.6935946941375732,0.693433940410614
6,0.5038750171661377,0.6933152079582214,0.6932206749916077,0.484499990940094,0.6934802532196045,0.6934312582015991
7,0.5038750171661377,0.6932454705238342,0.6932172775268555,0.484499990940094,0.6934448480606079,0.6934304237365723
8,0.5038750171661377,0.693222165107727,0.6932141184806824,0.484499990940094,0.6934341192245483,0.6934302449226379
9,0.5038750171661377,0.6932132840156555,0.6932109594345093,0.484499990940094,0.6934313178062439,0.6934302449226379
10,0.5038750171661377,0.6932088136672974,0.6932079792022705,0.484499990940094,0.693430483341217,0.6934302449226379
11,0.5038750171661377,0.6932052969932556,0.6932051181793213,0.484499990940094,0.6934303045272827,0.6934302449226379
12,0.5038750171661377,0.693202555179596,0.6932024359703064,0.484499990940094,0.6934303045272827,0.6934303045272827
13,0.5038750171661377,0.6932000517845154,0.6932000517845154,0.484499990940094,0.6934303045272827,0.6934303045272827
14,0.5038750171661377,0.6931973695755005,0.6931973695755005,0.484499990940094,0.6934302449226379,0.6934302449226379
15,0.5038750171661377,0.6931952834129333,0.6931952834129333,0.484499990940094,0.6934304237365723,0.6934304237365723
16,0.5038750171661377,0.6931930184364319,0.6931930184364319,0.484499990940094,0.6934303045272827,0.6934303045272827
17,0.5038750171661377,0.6931905746459961,0.6931905746459961,0.484499990940094,0.6934302449226379,0.6934302449226379
18,0.5038750171661377,0.6931887269020081,0.6931886076927185,0.484499990940094,0.6934302449226379,0.6934302449226379
