epoch,accuracy,loss,sparse_categorical_crossentropy,val_accuracy,val_loss,val_sparse_categorical_crossentropy
0,0.5038750171661377,1.1534688472747803,0.6954386830329895,0.5210000276565552,0.8236731290817261,0.692296028137207
1,0.5901250243186951,0.7436415553092957,0.6766059994697571,0.7095000147819519,0.68536776304245,0.6432211399078369
2,0.7116249799728394,0.6362976431846619,0.587026059627533,0.7245000004768372,0.6161991357803345,0.5627529621124268
3,0.7350000143051147,0.5975137948989868,0.5447804927825928,0.7264999747276306,0.606489360332489,0.554593026638031
4,0.7397500276565552,0.5858672261238098,0.5355633497238159,0.7269999980926514,0.5996881127357483,0.5504124760627747
5,0.7418749928474426,0.5791799426078796,0.5312619805335999,0.7285000085830688,0.5953956842422485,0.5483703017234802
6,0.7444999814033508,0.5740959644317627,0.5281715989112854,0.7269999980926514,0.5923426747322083,0.5472095608711243
7,0.746749997138977,0.5700827836990356,0.5258661508560181,0.7269999980926514,0.5894383788108826,0.545884907245636
8,0.7478749752044678,0.5670753121376038,0.5243906378746033,0.7254999876022339,0.5871153473854065,0.5450234413146973
9,0.7492499947547913,0.5645871758460999,0.5232413411140442,0.7315000295639038,0.584714412689209,0.5438526272773743
10,0.749625027179718,0.5624578595161438,0.5222938656806946,0.7294999957084656,0.5830408334732056,0.543293297290802
11,0.749875009059906,0.560610294342041,0.5214957594871521,0.7285000085830688,0.5818970203399658,0.5431432127952576
12,0.7505000233650208,0.558994472026825,0.5208446383476257,0.7269999980926514,0.580814003944397,0.542978823184967
13,0.7509999871253967,0.5575854778289795,0.5203211903572083,0.7254999876022339,0.5801345705986023,0.5431495904922485
14,0.7509999871253967,0.5563668012619019,0.5199258923530579,0.7254999876022339,0.5793288946151733,0.5431380867958069
15,0.7515000104904175,0.5552364587783813,0.5195580720901489,0.7245000004768372,0.5787788033485413,0.5433346629142761
16,0.7518749833106995,0.5542929768562317,0.5193175077438354,0.7275000214576721,0.5783395767211914,0.5435687899589539
17,0.7515000104904175,0.5533340573310852,0.5190006494522095,0.7285000085830688,0.5778903365135193,0.5437234044075012
